team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,player,pos,opp,bye,curr_site_pts,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,dst_int_tds,dst_ret_tds,dst_tackle
WAS,0.9,0,2.5,43.4,0.7,1,0.2,21.8,21.8,0,120,319,319,8.9,8.9,CBS,0520,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,0.8,0,2.7,47.1,0.6,0.8,0.2,21.8,21.8,0,129,372,372,8.7,8.7,CBS,0524,1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,0.8,0,2.5,46,0.7,0.9,0.2,25.1,25.1,0,119,349,349,8.7,8.7,CBS,0521,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,0.6,0,2.1,42.1,0.9,1.2,0.2,23.5,23.5,0,121,367,367,8.3,8.3,CBS,0503,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,0.8,0,1.8,44.7,0.8,1.2,0.2,22.6,22.6,0,168,344,344,8.2,8.2,CBS,0506,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.6,0,2.4,38.9,0.9,1.2,0.1,22.7,22.7,0,132,335,335,8,8,CBS,0517,1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,0.5,0,1.6,43.8,0.9,1.3,0.2,22.8,22.8,0,74,354,354,7.6,7.6,CBS,0531,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.8,0,1.6,43.3,0.6,0.8,0.2,25.4,25.4,0,99,392,392,7.6,7.6,CBS,0522,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,0.9,0,2.4,44.1,0.4,0.6,0.1,25.9,25.9,0,157,366,366,7.6,7.6,CBS,0510,1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.7,0,1.5,43.7,0.7,1,0.2,26.4,26.4,0,108,353,353,7.5,7.5,CBS,0519,1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,1,0,2.4,41.1,0.8,1.1,0.2,27.5,27.5,0,110,371,371,7.2,7.2,CBS,0529,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LV,0.9,0,1.7,45.3,0.7,1,0.2,28.5,28.5,0,132,363,363,6.1,6.1,CBS,0513,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GB,0.9,0,1.7,44.8,0.7,1,0.2,28.2,28.2,0,133,402,402,6.1,6.1,CBS,0523,1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.1,0,3.6,NA,0.7,1,0.2,15.5,NA,NA,NA,284.5,NA,9.6,NA,FantasyPros,0516,8080,Dallas Cowboys,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.4,0,2.5,NA,0.6,1.1,0.2,16.3,NA,NA,NA,303.4,NA,8.8,NA,FantasyPros,0518,8230,Philadelphia Eagles,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,3.2,NA,0.6,0.9,0.2,19.5,NA,NA,NA,308.9,NA,8.4,NA,FantasyPros,0504,8180,New England Patriots,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,0.1,2.6,NA,0.6,0.8,0.2,18,NA,NA,NA,324.3,NA,7.8,NA,FantasyPros,0502,8130,Indianapolis Colts,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.1,0,2.4,NA,0.6,0.8,0.2,18.4,NA,NA,NA,313.1,NA,7.8,NA,FantasyPros,0526,8010,Atlanta Falcons,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0.1,2.9,NA,0.6,0.7,0.2,18.5,NA,NA,NA,340.1,NA,7.7,NA,FantasyPros,0509,8140,Jacksonville Jaguars,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0.1,2.8,NA,0.6,0.8,0.2,16.8,NA,NA,NA,314.6,NA,7.2,NA,FantasyPros,0501,8030,Buffalo Bills,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.5,NA,0.6,0.8,0.2,19.9,NA,NA,NA,333.5,NA,7.2,NA,FantasyPros,0532,8120,Houston Texans,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,3.1,NA,0.6,1,0.2,20.6,NA,NA,NA,325.5,NA,7.2,NA,FantasyPros,0530,8270,San Francisco 49ers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.4,NA,0.5,0.7,0.2,19.7,NA,NA,NA,318.5,NA,7.2,NA,FantasyPros,0508,8300,Tennessee Titans,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.3,NA,0.6,1,0.2,19.6,NA,NA,NA,337,NA,7.1,NA,FantasyPros,0528,8280,Los Angeles Rams,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2,NA,0.6,1.1,0.2,19.9,NA,NA,NA,324.4,NA,7,NA,FantasyPros,0511,8090,Denver Broncos,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,3.2,NA,0.6,0.8,0.1,24.1,NA,NA,NA,351,NA,6.8,NA,FantasyPros,0507,8070,Cleveland Browns,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.6,NA,0.6,0.8,0.2,21.6,NA,NA,NA,338,NA,6.6,NA,FantasyPros,0520,8310,Washington Commanders,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.6,NA,0.6,0.8,0.2,21.2,NA,NA,NA,362.3,NA,6.5,NA,FantasyPros,0524,8170,Minnesota Vikings,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.1,0,2,NA,0.6,0.9,0.2,21.1,NA,NA,NA,326.1,NA,6.4,NA,FantasyPros,0505,8210,New York Jets,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.6,NA,0.6,0.9,0.1,21.3,NA,NA,NA,343.9,NA,6.4,NA,FantasyPros,0525,8290,Tampa Bay Buccaneers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.3,NA,0.6,0.9,0.2,25.1,NA,NA,NA,354.9,NA,6.4,NA,FantasyPros,0513,8220,Las Vegas Raiders,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.6,NA,0.7,1,0.2,20.8,NA,NA,NA,335.5,NA,6.2,NA,FantasyPros,0515,8260,Seattle Seahawks,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.3,NA,0.6,1,0.2,23,NA,NA,NA,351,NA,6,NA,FantasyPros,0503,8160,Miami Dolphins,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.6,NA,0.6,1,0.1,23.3,NA,NA,NA,336.7,NA,6,NA,FantasyPros,0517,8200,New York Giants,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.3,NA,0.6,0.9,0.1,24.6,NA,NA,NA,350.9,NA,6,NA,FantasyPros,0529,8190,New Orleans Saints,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0.1,2.3,NA,0.6,0.8,0.1,22.5,NA,NA,NA,303.8,NA,5.9,NA,FantasyPros,0527,8040,Carolina Panthers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.2,NA,0.6,1,0.2,21,NA,NA,NA,339.7,NA,5.8,NA,FantasyPros,0506,8060,Cincinnati Bengals,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,1.9,NA,0.6,0.8,0.1,27.3,NA,NA,NA,384.2,NA,5.6,NA,FantasyPros,0523,8110,Green Bay Packers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,1.9,NA,0.6,0.9,0.1,25.4,NA,NA,NA,354.5,NA,5.5,NA,FantasyPros,0519,8000,Arizona Cardinals,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.2,NA,0.5,0.7,0.1,26.4,NA,NA,NA,379.6,NA,5.5,NA,FantasyPros,0510,8240,Pittsburgh Steelers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2,NA,0.6,0.9,0.1,25.5,NA,NA,NA,345.9,NA,5.4,NA,FantasyPros,0521,8050,Chicago Bears,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,1.8,NA,0.5,0.7,0.1,26.1,NA,NA,NA,391.1,NA,5.2,NA,FantasyPros,0522,8100,Detroit Lions,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,1.8,NA,0.6,1.2,0.2,23.4,NA,NA,NA,365.5,NA,5.1,NA,FantasyPros,0531,8020,Baltimore Ravens,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,1.4,0,4,NA,0.8,NA,0.3,17.5,NA,NA,NA,295,NA,16.5,NA,FantasySharks,0516,NA,"Cowboys, Dallas",D,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,1.5,0,3,NA,0.7,NA,0.2,14.2,NA,NA,NA,231.2,NA,15.3,NA,FantasySharks,0518,NA,"Eagles, Philadelphia",D,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SFO,1.1,0,4,NA,0.4,NA,0.3,17,NA,NA,NA,245,NA,15.1,NA,FantasySharks,0530,NA,"49ers, San Francisco",D,@LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,1.4,0.1,3.4,NA,0.2,NA,0.1,14.3,NA,NA,NA,262.2,NA,13.5,NA,FantasySharks,0501,NA,"Bills, Buffalo",D,GBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEP,1.1,0,2.8,NA,0.6,NA,0.2,19.6,NA,NA,NA,315.5,NA,12.8,NA,FantasySharks,0504,NA,"Patriots, New England",D,@NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.8,0.1,2.8,NA,0.6,NA,0.1,16.6,NA,NA,NA,266,NA,12.4,NA,FantasySharks,0502,NA,"Colts, Indianapolis",D,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,1.1,0.1,1.6,NA,0.6,NA,0.3,18.9,NA,NA,NA,305,NA,12,NA,FantasySharks,0526,NA,"Falcons, Atlanta",D,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,0.8,0,2.5,NA,0.5,NA,0.3,20.6,NA,NA,NA,338.9,NA,11.7,NA,FantasySharks,0503,NA,"Dolphins, Miami",D,@DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.6,0.1,3,NA,0.2,NA,0.1,15.4,NA,NA,NA,237.6,NA,11.6,NA,FantasySharks,0520,NA,"Commanders, Washington",D,@IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,0.9,0,2,NA,0.3,NA,0.1,19.5,NA,NA,NA,288,NA,11.6,NA,FantasySharks,0509,NA,"Jaguars, Jacksonville",D,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBB,0.8,0,2.9,NA,0.6,NA,0.1,19.4,NA,NA,NA,330.6,NA,11.3,NA,FantasySharks,0525,NA,"Buccaneers, Tampa Bay",D,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,1.1,0.1,2.2,NA,0.4,NA,0.2,19.9,NA,NA,NA,315,NA,11.1,NA,FantasySharks,0505,NA,"Jets, New York",D,NEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,1,0,2.8,NA,0.5,NA,0.1,20,NA,NA,NA,300,NA,11,NA,FantasySharks,0528,NA,"Rams, Los Angeles",D,SFO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,1.1,0,2.1,NA,0.2,NA,0.1,19.8,NA,NA,NA,339.5,NA,10.5,NA,FantasySharks,0532,NA,"Texans, Houston",D,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,1,0,2.8,NA,0.5,NA,0.1,20.5,NA,NA,NA,364.9,NA,10.5,NA,FantasySharks,0508,NA,"Titans, Tennessee",D,@HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVR,0.5,0,1.9,NA,0.1,NA,0.3,21.4,NA,NA,NA,296.2,NA,10.4,NA,FantasySharks,0513,NA,"Raiders, Las Vegas",D,@NOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.7,0,1.7,NA,0.6,NA,0.5,26.2,NA,NA,NA,367.3,NA,10,NA,FantasySharks,0519,NA,"Cardinals, Arizona",D,@MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.7,0,2,NA,0.4,NA,0.3,22,NA,NA,NA,343,NA,9.8,NA,FantasySharks,0527,NA,"Panthers, Carolina",D,@ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,0.9,0,2.5,NA,0.7,NA,0.1,24,NA,NA,NA,379.7,NA,9.7,NA,FantasySharks,0531,NA,"Ravens, Baltimore",D,@TBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.9,0,2.6,NA,0.6,NA,0.2,25.3,NA,NA,NA,374.6,NA,9.7,NA,FantasySharks,0515,NA,"Seahawks, Seattle",D,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,0.9,0,1.9,NA,0.4,NA,0.1,20,NA,NA,NA,345,NA,9.7,NA,FantasySharks,0506,NA,"Bengals, Cincinnati",D,@CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,1,0,2.7,NA,0.5,NA,0.1,23.4,NA,NA,NA,398.7,NA,9.5,NA,FantasySharks,0524,NA,"Vikings, Minnesota",D,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.6,0.1,2.5,NA,0.4,NA,0,19.2,NA,NA,NA,325.3,NA,9.5,NA,FantasySharks,0511,NA,"Broncos, Denver",D,@JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,0.9,0.1,1.9,NA,0.3,NA,0.1,21.2,NA,NA,NA,326.1,NA,8.7,NA,FantasySharks,0521,NA,"Bears, Chicago",D,@DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,0.5,0,2,NA,0.5,NA,0.1,25.3,NA,NA,NA,338.6,NA,8.7,NA,FantasySharks,0507,NA,"Browns, Cleveland",D,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBP,0.4,0.1,1.7,NA,0.3,NA,0.1,26.3,NA,NA,NA,388.9,NA,6.9,NA,FantasySharks,0523,NA,"Packers, Green Bay",D,@BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.4,0,1.8,NA,0.6,NA,0,21.5,NA,NA,NA,368.9,NA,6.7,NA,FantasySharks,0517,NA,"Giants, New York",D,@SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,0.9,0,1.9,NA,0.3,NA,0.1,29.2,NA,NA,NA,445.9,NA,6.1,NA,FantasySharks,0510,NA,"Steelers, Pittsburgh",D,@PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOS,0.3,0,2.2,NA,0.5,NA,0,28.4,NA,NA,NA,358.4,NA,5.7,NA,FantasySharks,0529,NA,"Saints, New Orleans",D,LVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.4,0.1,1.4,NA,0.4,NA,0,30.6,NA,NA,NA,406.4,NA,4.1,NA,FantasySharks,0522,NA,"Lions, Detroit",D,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,1.1,NA,3.6,NA,0.7,1,0.2,15.5,NA,NA,NA,284.5,NA,13.63,NA,FleaFlicker,0516,2336,Dallas Cowboys,DST,CHISun 1:00 PM,9,NA,D/ST3,0,94%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NE,0.9,NA,3.2,NA,0.6,0.9,0.2,19.5,NA,NA,NA,308.9,NA,11.96,NA,FleaFlicker,0504,2346,New England Patriots,DST,@NYJSun 1:00 PM,10,NA,D/ST6,0,94%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,1.4,NA,2.5,NA,0.6,1.1,0.2,16.3,NA,NA,NA,303.4,NA,11.95,NA,FleaFlicker,0518,2351,Philadelphia Eagles,DST,PITSun 1:00 PM,7,NA,D/ST7,0,79%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,0.9,NA,3,NA,0.6,1,0.2,20.6,NA,NA,NA,325.5,NA,11.69,NA,FleaFlicker,0530,2355,San Francisco 49ers,DST,@LARSun 4:25 PM,9,NA,D/ST2,0,95%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,0.7,NA,3.2,NA,0.6,0.8,0.1,24.1,NA,NA,NA,351,NA,11.39,NA,FleaFlicker,0507,2335,Cleveland Browns,DST,CINMon 8:15 PM,9,NA,D/ST14,0,24%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
