team,dst_int,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,player,dst_safety,pos,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,return_tds,dst_int_tds,dst_ret_tds,dst_tackle
LAC,3,7,34,NA,NA,NA,3,3,143,69,173,173,27,27,CBS,0514,1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,4,6,38,NA,NA,1,14,14,259,104,323,323,24,24,CBS,0528,1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,3,3,36,NA,NA,NA,10,10,174,58,201,201,19,19,CBS,0510,1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,1,3,39,1,2,NA,3,3,182,66,227,227,19,19,CBS,0509,1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,1,2,52,1,1,NA,13,13,144,80,209,209,16,16,CBS,0501,1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NE,2,2,63,1,1,1,22,22,375,73,442,442,16,16,CBS,0504,1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,2,4,51,1,2,NA,14,14,99,184,272,272,16,16,CBS,0532,1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,1,2,42,NA,NA,NA,10,10,135,124,249,249,14,14,CBS,0529,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,1,6,56,NA,1,1,40,40,347,115,419,419,14,14,CBS,0518,1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GB,3,2,38,1,2,NA,20,20,310,82,376,376,14,14,CBS,0523,1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,1,4,51,1,1,NA,20,20,235,101,314,314,12,12,CBS,0502,1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,NA,4,39,1,2,NA,18,18,240,61,285,285,12,12,CBS,0506,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB,1,1,54,2,1,NA,16,16,221,121,325,325,11,11,CBS,0525,1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC,1,2,47,NA,NA,NA,10,10,215,133,333,333,10,10,CBS,0512,1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,NA,2,44,1,1,NA,9,9,218,115,327,327,10,10,CBS,0531,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,1,NA,42,NA,NA,NA,17,17,92,152,244,244,10,10,CBS,0507,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,1,2,52,1,1,NA,20,20,289,79,349,349,10,10,CBS,0530,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,1,1,53,NA,1,NA,19,19,218,70,285,285,9,9,CBS,0508,1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,1,3,50,1,2,NA,24,24,334,126,445,445,9,9,CBS,0524,1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,2,NA,62,NA,NA,NA,19,19,281,115,396,396,8,8,CBS,0519,1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LV,1,NA,48,NA,NA,NA,13,13,244,106,350,350,8,8,CBS,0513,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,2,NA,44,2,1,NA,34,34,355,87,442,442,8,8,CBS,0516,1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,2,1,45,1,1,NA,35,35,172,254,426,426,7,7,CBS,0521,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,NA,1,51,1,1,NA,19,19,229,147,365,365,7,7,CBS,0505,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,NA,4,45,NA,NA,NA,27,27,299,83,353,353,6,6,CBS,0517,1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,NA,2,39,1,NA,NA,23,23,355,45,381,381,6,6,CBS,0527,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,1,2,55,NA,NA,NA,26,26,238,79,301,301,6,6,CBS,0503,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,NA,NA,42,NA,1,NA,17,17,115,184,299,299,6,6,CBS,0526,1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,1,3,37,NA,NA,NA,37,37,234,153,371,371,5,5,CBS,0520,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,NA,1,32,NA,NA,NA,24,24,224,77,297,297,5,5,CBS,0515,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,3.1,NA,0.5,0.7,0.1,16.6,NA,NA,NA,344.4,NA,8,NA,FantasyPros,0512,8150,Kansas City Chiefs,0.1,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,2.7,NA,0.6,0.9,0.1,17,NA,NA,NA,295.7,NA,7.7,NA,FantasyPros,0516,8080,Dallas Cowboys,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,2.4,NA,0.6,0.8,0.2,18.6,NA,NA,NA,318.3,NA,7.5,NA,FantasyPros,0509,8140,Jacksonville Jaguars,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,2.5,NA,0.6,1.1,0.1,18.3,NA,NA,NA,353.3,NA,7.5,NA,FantasyPros,0517,8200,New York Giants,0.1,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,2.5,NA,0.6,0.9,0.1,18.3,NA,NA,NA,306.7,NA,7.5,NA,FantasyPros,0530,8270,San Francisco 49ers,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,2.4,NA,0.6,0.9,0.1,17.7,NA,NA,NA,312.5,NA,7.5,NA,FantasyPros,0518,8230,Philadelphia Eagles,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,2.6,NA,0.6,0.7,0.2,19,NA,NA,NA,377.4,NA,7.3,NA,FantasyPros,0526,8010,Atlanta Falcons,0.1,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,2.6,NA,0.6,0.8,0.1,19.1,NA,NA,NA,327.7,NA,7.3,NA,FantasyPros,0520,8310,Washington Commanders,0.1,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,2.4,NA,0.6,0.8,0.1,17.1,NA,NA,NA,311,NA,7.2,NA,FantasyPros,0531,8020,Baltimore Ravens,0.1,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,2.5,NA,0.6,0.7,0.1,18.7,NA,NA,NA,315.6,NA,7.2,NA,FantasyPros,0514,8250,Los Angeles Chargers,0.1,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,2.2,NA,0.6,0.7,0.2,19,NA,NA,NA,326.8,NA,7.2,NA,FantasyPros,0504,8180,New England Patriots,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,2.4,NA,0.6,0.8,0.1,17.9,NA,NA,NA,300.8,NA,6.9,NA,FantasyPros,0525,8290,Tampa Bay Buccaneers,0.1,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,2.9,NA,0.6,0.7,0.1,23.3,NA,NA,NA,362.6,NA,6.7,NA,FantasyPros,0522,8100,Detroit Lions,0.1,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,2.7,NA,0.5,0.7,0.1,23.8,NA,NA,NA,352.6,NA,6.5,NA,FantasyPros,0501,8030,Buffalo Bills,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,2.8,NA,0.5,0.7,0.1,21.1,NA,NA,NA,321.4,NA,6.5,NA,FantasyPros,0505,8210,New York Jets,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,2.3,NA,0.6,0.8,0.1,22.2,NA,NA,NA,400.4,NA,6.2,NA,FantasyPros,0523,8110,Green Bay Packers,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,2.5,NA,0.6,0.8,0.1,22,NA,NA,NA,347.1,NA,6.2,NA,FantasyPros,0510,8240,Pittsburgh Steelers,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,2.4,NA,0.5,0.9,0.1,20.4,NA,NA,NA,311.8,NA,6.1,NA,FantasyPros,0503,8160,Miami Dolphins,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,2.5,NA,0.5,0.8,0.1,21.5,NA,NA,NA,345.2,NA,6.1,NA,FantasyPros,0507,8070,Cleveland Browns,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,2.2,NA,0.6,0.8,0.1,24.4,NA,NA,NA,336.6,NA,6,NA,FantasyPros,0508,8300,Tennessee Titans,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,2,NA,0.6,0.8,0.1,22.9,NA,NA,NA,361.2,NA,5.9,NA,FantasyPros,0506,8060,Cincinnati Bengals,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,2.3,NA,0.5,0.7,0.1,23,NA,NA,NA,372.7,NA,5.9,NA,FantasyPros,0528,8280,Los Angeles Rams,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,2.6,NA,0.5,0.7,0.1,21.8,NA,NA,NA,337.4,NA,5.9,NA,FantasyPros,0502,8130,Indianapolis Colts,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,1.9,NA,0.5,0.8,0.1,20.5,NA,NA,NA,388,NA,5.8,NA,FantasyPros,0515,8260,Seattle Seahawks,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,2.2,NA,0.5,0.7,0.2,22.7,NA,NA,NA,357.9,NA,5.8,NA,FantasyPros,0524,8170,Minnesota Vikings,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,2.3,NA,0.6,0.7,0.1,24.7,NA,NA,NA,356.5,NA,5.7,NA,FantasyPros,0529,8190,New Orleans Saints,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,2.3,NA,0.6,0.7,0.1,20.6,NA,NA,NA,315.1,NA,5.6,NA,FantasyPros,0519,8000,Arizona Cardinals,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,2.3,NA,0.6,0.8,0.1,23.6,NA,NA,NA,348.7,NA,5.6,NA,FantasyPros,0513,8220,Las Vegas Raiders,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,2,NA,0.6,0.8,0.2,23.3,NA,NA,NA,389.8,NA,5.5,NA,FantasyPros,0532,8120,Houston Texans,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,1.9,NA,0.5,0.6,0.1,23.4,NA,NA,NA,375.4,NA,5.3,NA,FantasyPros,0527,8040,Carolina Panthers,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,1.8,NA,0.6,0.7,0.1,25.8,NA,NA,NA,376.7,NA,5.2,NA,FantasyPros,0511,8090,Denver Broncos,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,1.8,NA,0.5,0.7,0.1,26.1,NA,NA,NA,384.9,NA,5,NA,FantasyPros,0521,8050,Chicago Bears,0,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,1.1,2.9,NA,1.1,NA,0.2,17,NA,NA,NA,250,NA,15.2,NA,FantasySharks,0509,NA,"Jaguars, Jacksonville",0,D,@HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,1.1,3.2,NA,1.2,NA,0.2,20,NA,NA,NA,315,NA,14.1,NA,FantasySharks,0516,NA,"Cowboys, Dallas",0,D,@TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KCC,0.9,3.7,NA,0.4,NA,0.2,18,NA,NA,NA,277,NA,13.9,NA,FantasySharks,0512,NA,"Chiefs, Kansas City",0.1,D,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,1.1,3.1,NA,0.6,NA,0.1,20,NA,NA,NA,284,NA,13.5,NA,FantasySharks,0514,NA,"Chargers, Los Angeles",0.1,D,LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.4,3.5,NA,0.9,NA,0.1,15,NA,NA,NA,251.5,NA,13.4,NA,FantasySharks,0517,NA,"Giants, New York",0,D,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEP,1,3,NA,0.5,NA,0.5,24,NA,NA,NA,345,NA,13.2,NA,FantasySharks,0504,NA,"Patriots, New England",0,D,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,1,4.7,NA,0.6,NA,0.2,21,NA,NA,NA,300,NA,13,NA,FantasySharks,0518,NA,"Eagles, Philadelphia",0,D,NOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.7,2.5,NA,0.4,NA,0.2,19,NA,NA,NA,286.5,NA,12.2,NA,FantasySharks,0520,NA,"Commanders, Washington",0,D,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,0.8,3.2,NA,0.3,NA,0.1,14.6,NA,NA,NA,244.2,NA,12.1,NA,FantasySharks,0505,NA,"Jets, New York",0.2,D,@SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,0.7,1.4,NA,0.4,NA,0.3,17.3,NA,NA,NA,275.6,NA,11.9,NA,FantasySharks,0526,NA,"Falcons, Atlanta",0,D,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
