player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,pass_comp,pass_att,pass_yds,pass_tds,pass_int
"Chase, Ja'Marr",WR,CIN,NA,11.1,6.9,94,NA,NA,0.6,NA,2,NA,0,0.1,13.3,NA,NA,FantasySharks,15281,BUF,1.6,0.2,0.1,0,0.1,0.1,0.1,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Waddle, Jaylen",WR,MIA,NA,8.4,5.2,85,NA,NA,0.5,NA,1,NA,0,0,11.8,NA,NA,FantasySharks,15284,@NEP,0.7,0.2,0.1,0.1,0,0,0.2,4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higgins, Tee",WR,CIN,NA,8.5,5.6,83,NA,NA,0.6,NA,0,NA,0,0,11.8,NA,NA,FantasySharks,14835,BUF,1.1,0.2,0.1,0.1,0,0.1,0.1,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diggs, Stefon",WR,BUF,NA,10.3,6.3,80,NA,NA,0.6,NA,-0.2,NA,0,0,11.4,NA,NA,FantasySharks,12186,@CIN,1.8,0.3,0.2,0,0,0,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Brown, Amon-Ra",WR,DET,NA,10.2,7.1,78,NA,NA,0.4,NA,5,NA,0,0,11.1,NA,NA,FantasySharks,15287,CHI,1.7,0.2,0.1,0,0,0,0,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samuel, Deebo",WR,SFO,NA,6.4,3.8,51,NA,NA,0.2,NA,22,NA,0.4,0.1,10.4,NA,NA,FantasySharks,14136,@LVR,0.7,0,0,0,0,0.1,0,4,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown, A.J.",WR,PHI,NA,7.9,4.7,74,NA,NA,0.5,NA,0,NA,0,0.1,10.4,NA,NA,FantasySharks,14104,NOS,0.9,0.1,0.1,0.1,0.1,0.1,0,1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen, Keenan",WR,LAC,NA,10.6,7.1,80,NA,NA,0.3,NA,0,NA,0,0.1,9.8,NA,NA,FantasySharks,11222,LAR,1.6,0.2,0,0,0.1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evans, Mike",WR,TBB,NA,9.7,5.4,72,NA,NA,0.4,NA,0,NA,0,0,9.6,NA,NA,FantasySharks,11671,CAR,1.2,0.2,0.1,0.1,0,0,0,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Watson, Christian",WR,GBP,NA,6.1,3.6,50,NA,NA,0.6,NA,2,NA,0.2,0,9.6,NA,NA,FantasySharks,15789,MIN,1.3,0.2,0.2,0,0.1,0,0.1,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lazard, Allen",WR,GBP,NA,7.7,4.7,63,NA,NA,0.5,NA,0,NA,0,0,9.5,NA,NA,FantasySharks,13632,MIN,1.4,0.2,0.1,0.2,0,0,0,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Mike",WR,LAC,NA,7.7,4.8,70,NA,NA,0.4,NA,0,NA,0,0,9.4,NA,NA,FantasySharks,13154,LAR,1.2,0.1,0.2,0,0,0,0,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Godwin, Chris",WR,TBB,NA,10.2,7.2,72,NA,NA,0.3,NA,1,NA,0,0,9.2,NA,NA,FantasySharks,13163,CAR,1.4,0.2,0.1,0,0,0,0,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeudy, Jerry",WR,DEN,NA,8,5.6,71,NA,NA,0.3,NA,1,NA,0,0,9.1,NA,NA,FantasySharks,14833,@KCC,0.9,0.2,0.1,0,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moore, D.J.",WR,CAR,NA,8.6,4.7,63,NA,NA,0.4,NA,3,NA,0,0,8.9,NA,NA,FantasySharks,13635,@TBB,0.8,0.2,0.1,0.1,0,0,0.1,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis, Gabriel",WR,BUF,NA,6.7,3.5,57,NA,NA,0.5,NA,0.1,NA,0,0.1,8.7,NA,NA,FantasySharks,14845,@CIN,1.4,0.1,0.2,0.1,0.1,0,0.1,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith, DeVonta",WR,PHI,NA,7,5,63,NA,NA,0.4,NA,0,NA,0,0.1,8.6,NA,NA,FantasySharks,15282,NOS,0.7,0.2,0.1,0,0.1,0.1,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McLaurin, Terry",WR,WAS,NA,7.5,4.7,68,NA,NA,0.3,NA,1,NA,0,0,8.5,NA,NA,FantasySharks,14109,CLE,0.7,0.1,0.1,0,0.1,0.1,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metcalf, DK",WR,SEA,NA,8,5,62,NA,NA,0.4,NA,0,NA,0,0.1,8.5,NA,NA,FantasySharks,14102,NYJ,1.3,0.2,0.2,0,0,0,0.1,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jefferson, Van",WR,LAR,NA,5.7,4,46,NA,NA,0.6,NA,3,NA,0,0,8.4,NA,NA,FantasySharks,14858,@LAC,1,0.3,0.1,0.1,0,0,0.1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cooper, Amari",WR,CLE,NA,8.3,5,62,NA,NA,0.4,NA,0.1,NA,0,0,8.3,NA,NA,FantasySharks,12175,@WAS,1.1,0.2,0.1,0,0,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hopkins, DeAndre",WR,ARI,NA,8.5,5.4,62,NA,NA,0.4,NA,0,NA,0,0.1,8.2,NA,NA,FantasySharks,11232,@ATL,0.7,0.1,0.1,0.1,0.1,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thielen, Adam",WR,MIN,NA,7.5,4.7,52,NA,NA,0.5,NA,0,NA,0,0,8.2,NA,NA,FantasySharks,11938,@GBP,1.4,0.2,0.1,0.1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lockett, Tyler",WR,SEA,NA,6.4,4.1,55,NA,NA,0.5,NA,0,NA,0,0.1,8.1,NA,NA,FantasySharks,12187,NYJ,0.6,0.1,0,0.1,0.2,0.1,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burks, Treylon",WR,TEN,NA,6.6,3.9,57,NA,NA,0.4,NA,1,NA,0,0,8.1,NA,NA,FantasySharks,15752,DAL,0.6,0.2,0,0.1,0,0,0.1,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Olave, Chris",WR,NOS,NA,7.6,4.5,65,NA,NA,0.3,NA,0,NA,0,0,8,NA,NA,FantasySharks,15754,@PHI,0.8,0.1,0.1,0,0,0,0.1,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiyuk, Brandon",WR,SFO,NA,6.6,4.1,58,NA,NA,0.4,NA,0,NA,0,0.1,8,NA,NA,FantasySharks,14840,@LVR,0.7,0.1,0.1,0,0.1,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cooks, Brandin",WR,HOU,NA,8.6,5.1,59,NA,NA,0.3,NA,1,NA,0,0,7.9,NA,NA,FantasySharks,11674,JAC,0.8,0.2,0.1,0,0,0.1,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pittman, Michael",WR,IND,NA,9.4,6.3,64,NA,NA,0.2,NA,2,NA,0,0,7.8,NA,NA,FantasySharks,14842,@NYG,0.8,0.1,0.1,0,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirk, Christian",WR,JAC,NA,7.5,4.7,58,NA,NA,0.3,NA,1,NA,0,0.1,7.7,NA,NA,FantasySharks,13633,@HOU,1.1,0.2,0.1,0,0,0,0,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chark, D.J.",WR,DET,NA,6.5,4.8,60,NA,NA,0.3,NA,0,NA,0,0,7.6,NA,NA,FantasySharks,13668,CHI,0.3,0.1,0,0.1,0,0.1,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slayton, Darius",WR,NYG,NA,6.9,4.2,64,NA,NA,0.2,NA,-0.4,NA,0,0,7.5,NA,NA,FantasySharks,14122,IND,0.3,0,0,0,0.1,0,0.1,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson, Garrett",WR,NYJ,NA,7.3,4.2,62,NA,NA,0.2,NA,0,NA,0,0.1,7.2,NA,NA,FantasySharks,15753,@SEA,0.9,0.1,0,0,0,0,0.1,1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sutton, Courtland",WR,DEN,NA,8,5,60,NA,NA,0.2,NA,0,NA,0,0,7.2,NA,NA,FantasySharks,13630,@KCC,0.9,0.1,0.1,0,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith-Schuster, JuJu",WR,KCC,NA,6.6,5,57,NA,NA,0.2,NA,0,NA,0,0.1,6.9,NA,NA,FantasySharks,13156,DEN,0.9,0.1,0,0,0,0.1,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Meyers, Jakobi",WR,NEP,NA,6.4,4.3,53,NA,NA,0.3,NA,-0.9,NA,0,0.2,6.7,NA,NA,FantasySharks,14127,MIA,0.7,0.1,0,0.1,0.1,0.1,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, Diontae",WR,PIT,NA,9.4,5.5,56,NA,NA,0.1,NA,2,NA,0,0,6.7,NA,NA,FantasySharks,14208,@BAL,1.2,0,0.1,0,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pickens, George",WR,PIT,NA,5.2,3.1,46,NA,NA,0.2,NA,2,NA,0.1,0,6.6,NA,NA,FantasySharks,15762,@BAL,0.6,0.1,0.1,0.1,0,0,0,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Claypool, Chase",WR,CHI,NA,5.9,3.8,43,NA,NA,0.4,NA,2,NA,0,0.1,6.6,NA,NA,FantasySharks,14841,@DET,0.7,0.1,0.1,0,0.1,0,0,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boyd, Tyler",WR,CIN,NA,5.6,3.7,46,NA,NA,0.3,NA,0,NA,0,0,6.6,NA,NA,FantasySharks,12650,BUF,0.8,0.1,0.1,0,0,0,0.1,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gallup, Michael",WR,DAL,NA,7.1,3.8,43,NA,NA,0.4,NA,0,NA,0,0,6.5,NA,NA,FantasySharks,13646,@TEN,1.1,0.2,0.2,0,0,0,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"London, Drake",WR,ATL,NA,7.1,4.2,48,NA,NA,0.3,NA,3,NA,0,0.2,6.5,NA,NA,FantasySharks,15751,ARI,1,0.2,0,0,0,0,0,2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown, Marquise",WR,ARI,NA,7.9,4.6,48,NA,NA,0.2,NA,1,NA,0,0,6.2,NA,NA,FantasySharks,14105,@ATL,1,0.1,0,0.1,0,0,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gage, Russell",WR,TBB,NA,6.6,4.1,40,NA,NA,0.4,NA,0,NA,0,0.1,6.2,NA,NA,FantasySharks,13809,CAR,1.4,0.3,0,0,0,0,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dotson, Jahan",WR,WAS,NA,4.2,2.4,33,NA,NA,0.5,NA,1,NA,0,0,6.1,NA,NA,FantasySharks,15755,CLE,0.7,0.2,0.1,0.1,0,0,0,5,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Renfrow, Hunter",WR,LVR,NA,6.9,4.5,43,NA,NA,0.3,NA,2,NA,0,0,6,NA,NA,FantasySharks,14123,SFO,0.8,0.1,0.2,0,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palmer, Josh",WR,LAC,NA,6.8,4.4,48,NA,NA,0.2,NA,0,NA,0,0,6,NA,NA,FantasySharks,15319,LAR,0.6,0.1,0,0,0,0,0.1,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samuel, Curtis",WR,WAS,NA,5,3.3,35,NA,NA,0.2,NA,10,NA,0.1,0,5.9,NA,NA,FantasySharks,13157,CLE,0.6,0,0,0.1,0,0.1,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peoples-Jones, Donovan",WR,CLE,NA,6,3.7,50,NA,NA,0.2,NA,0,NA,0,0.1,5.9,NA,NA,FantasySharks,14857,@WAS,0.6,0.1,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis, Corey",WR,NYJ,NA,5.8,3.1,48,NA,NA,0.2,NA,0,NA,0,0,5.8,NA,NA,FantasySharks,13153,@SEA,0.7,0.1,0,0,0,0,0.1,3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones, Zay",WR,JAC,NA,7.1,4.3,45,NA,NA,0.2,NA,2,NA,0,0,5.7,NA,NA,FantasySharks,13176,@HOU,0.9,0,0.1,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hollins, Mack",WR,LVR,NA,5.5,3.1,36,NA,NA,0.3,NA,2,NA,0,0,5.7,NA,NA,FantasySharks,13289,SFO,0.8,0.1,0,0.1,0.1,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McKenzie, Isaiah",WR,BUF,NA,5.1,3,32,NA,NA,0.2,NA,5,NA,0.1,0,5.6,NA,NA,FantasySharks,13313,@CIN,0.9,0.1,0.1,0,0,0,0,9,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Osborn, K.J.",WR,MIN,NA,5.5,3.2,35,NA,NA,0.3,NA,0,NA,0,0,5.5,NA,NA,FantasySharks,14977,@GBP,0.8,0.1,0.1,0.1,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"James, Richie",WR,NYG,NA,5.8,4,45,NA,NA,0.2,NA,1,NA,0,0,5.5,NA,NA,FantasySharks,13724,IND,0.4,0.1,0,0,0,0,0,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown, Noah",WR,DAL,NA,5.4,3.2,42,NA,NA,0.2,NA,0,NA,0,0.1,5.4,NA,NA,FantasySharks,13172,@TEN,0.8,0.1,0.1,0,0,0,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pringle, Byron",WR,CHI,NA,3.7,2.4,37,NA,NA,0.3,NA,0,NA,0,0,5.3,NA,NA,FantasySharks,13863,@DET,0.3,0.1,0,0,0.1,0,0,6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith, Tre'Quan",WR,NOS,NA,4.6,2.9,44,NA,NA,0.1,NA,0,NA,0,0,5.2,NA,NA,FantasySharks,13645,@PHI,0.4,0.1,0,0,0,0,0,3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campbell, Parris",WR,IND,NA,5.3,3.4,37,NA,NA,0.2,NA,1,NA,0,0,5,NA,NA,FantasySharks,14112,@NYG,0.5,0.1,0,0,0.1,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robinson, Demarcus",WR,BAL,NA,5,4,40,NA,NA,0.2,NA,1,NA,0,0.1,4.9,NA,NA,FantasySharks,12785,PIT,0.6,0.1,0,0,0,0,0,3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Westbrook-Ikhine, Nick",WR,TEN,NA,4.5,2.3,34,NA,NA,0.2,NA,0,NA,0,0,4.9,NA,NA,FantasySharks,15109,DAL,0.6,0.2,0,0,0,0,0.1,2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moore, Chris",WR,HOU,NA,4.9,3.2,38,NA,NA,0.2,NA,0,NA,0,0,4.8,NA,NA,FantasySharks,12773,JAC,0.8,0,0.1,0,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moore, Elijah",WR,NYJ,NA,5.3,2.9,36,NA,NA,0.2,NA,1,NA,0,0,4.8,NA,NA,FantasySharks,15288,@SEA,0.7,0,0.1,0.1,0,0,0,2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reynolds, Josh",WR,DET,NA,4.9,2.7,35,NA,NA,0.2,NA,0,NA,0,0,4.8,NA,NA,FantasySharks,13168,CHI,1,0.2,0,0,0,0,0,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, Terrace",WR,CAR,NA,4.5,2.5,43,NA,NA,0.1,NA,0,NA,0,0,4.8,NA,NA,FantasySharks,15308,@TBB,0.4,0,0,0.1,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Valdes-Scantling, Marquez",WR,KCC,NA,4.6,2.2,38,NA,NA,0.2,NA,-0.1,NA,0,0,4.8,NA,NA,FantasySharks,13793,DEN,0.7,0.1,0.1,0,0,0,0,1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atwell, Tutu",WR,LAR,NA,3.9,2.5,34,NA,NA,0.2,NA,2,NA,0,0,4.6,NA,NA,FantasySharks,15301,@LAC,0.4,0.1,0,0,0,0,0.1,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones, Marvin",WR,JAC,NA,5.4,3,32,NA,NA,0.2,NA,1,NA,0,0,4.6,NA,NA,FantasySharks,10738,@HOU,0.8,0,0.2,0,0,0,0,2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardman, Mecole",WR,KCC,NA,3.5,2.3,29,NA,NA,0.2,NA,2,NA,0.1,0.1,4.6,NA,NA,FantasySharks,14113,DEN,0.7,0.2,0,0,0,0,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pierce, Alec",WR,IND,NA,5.3,2.6,36,NA,NA,0.2,NA,0,NA,0,0,4.6,NA,NA,FantasySharks,15768,@NYG,0.4,0,0.1,0,0.1,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Doubs, Romeo",WR,GBP,NA,5.5,3.4,38,NA,NA,0.1,NA,1,NA,0,0,4.5,NA,NA,FantasySharks,15779,MIN,0.6,0,0.1,0,0,0,0,6,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parker, DeVante",WR,NEP,NA,3.6,2.4,36,NA,NA,0.1,NA,0,NA,0,0,4.5,NA,NA,FantasySharks,12176,MIA,0.1,0,0,0,0,0.1,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raymond, Kalif",WR,DET,NA,4.2,3,39,NA,NA,0.1,NA,2,NA,0,0.1,4.4,NA,NA,FantasySharks,13066,CHI,0.6,0,0,0,0,0,0,3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hodgins, Isaiah",WR,NYG,NA,4.6,3,33,NA,NA,0.2,NA,0,NA,0,0,4.4,NA,NA,FantasySharks,14849,IND,0.3,0.1,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goodwin, Marquise",WR,SEA,NA,3.1,1.8,28,NA,NA,0.2,NA,0,NA,0,0,4.2,NA,NA,FantasySharks,11239,NYJ,0.4,0,0.1,0.1,0,0,0,2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Woods, Robert",WR,TEN,NA,6.1,3.8,38,NA,NA,0.1,NA,0,NA,0,0,4.1,NA,NA,FantasySharks,11228,DAL,0.9,0,0,0,0,0,0,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cobb, Randall",WR,GBP,NA,4.2,2.6,36,NA,NA,0.1,NA,0.1,NA,0,0,4.1,NA,NA,FantasySharks,10308,MIN,0.7,0,0.1,0,0,0,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zaccheaus, Olamide",WR,ATL,NA,4.3,2.5,33,NA,NA,0.1,NA,1,NA,0,0,3.8,NA,NA,FantasySharks,14592,ARI,0.3,0,0.1,0,0,0,0,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Proche, James",WR,BAL,NA,4.2,2.8,34,NA,NA,0,NA,3,NA,0,0,3.8,NA,NA,FantasySharks,14848,PIT,0.5,0,0,0,0,0,0,12,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
