team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,player,pos,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,dst_int_tds,dst_ret_tds,dst_tackle
LV,0.9,0,2.1,44.4,0.8,1,0.2,19.9,19.9,0,113,324,324,10.7,10.7,CBS,0513,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB,0.6,0,2.7,41.4,0.8,1.1,0.2,20.4,20.4,0,129,335,335,10.7,10.7,CBS,0525,1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,0.9,0,2.5,46.7,0.5,0.7,0.2,20.2,20.2,0,112,324,324,10.5,10.5,CBS,0528,1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,1.2,0,2.2,43.1,0.9,1.3,0.2,25.5,25.5,0,130,395,395,9.6,9.6,CBS,0524,1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,1.2,0,2.4,43.2,0.8,1.1,0.2,26.8,26.8,0,177,342,342,9.6,9.6,CBS,0522,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,1,0,2,42.9,0.9,1.2,0.2,23.1,23.1,0,84,328,328,9,9,CBS,0519,1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,1.1,0,2.2,41.9,0.7,0.9,0.2,21.7,21.7,0,129,353,353,9,9,CBS,0510,1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,0.9,0,2.5,42.1,0.7,0.9,0.2,24.8,24.8,0,101,347,347,8.9,8.9,CBS,0507,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.9,0.1,2.3,40.9,0.7,1,0.2,21.8,21.8,0,123,306,306,8.9,8.9,CBS,0527,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.8,0,2.4,42.5,0.8,1.1,0.2,25.1,25.1,0,100,335,335,8.8,8.8,CBS,0502,1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,0.7,0,2.3,43.6,0.9,1.3,0.2,21,21,0,169,354,354,8.7,8.7,CBS,0503,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,0.9,0,2,42.7,0.8,1.1,0.2,21.2,21.2,0,128,358,358,8.6,8.6,CBS,0521,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GB,0.9,0,2,45.1,0.6,0.8,0.2,24,24,0,145,371,371,8.2,8.2,CBS,0523,1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,0.6,0,2.6,42.4,0.8,1,0.1,22.3,22.3,0,149,338,338,8,8,CBS,0532,1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.5,0,1.7,43.2,0.9,1.3,0.2,22.2,22.2,0,72,348,348,7.7,7.7,CBS,0515,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,0.9,0,2,41.6,0.9,1.2,0.2,28.8,28.8,0,148,374,374,6.8,6.8,CBS,0514,1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.7,0,2.7,44.5,0.5,0.7,0.1,28.6,28.6,0,147,369,369,5.7,5.7,CBS,0520,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,0.8,0,1.4,43.9,0.5,0.7,0.1,29.2,29.2,0,97,396,396,4.6,4.6,CBS,0509,1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.1,0,3.1,NA,0.6,1,0.2,16.9,NA,NA,NA,307,NA,8.7,NA,FantasyPros,0518,8230,Philadelphia Eagles,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.3,0,2.6,NA,0.6,0.9,0.2,19.8,NA,NA,NA,308.5,NA,8.5,NA,FantasyPros,0529,8190,New Orleans Saints,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0.1,3.3,NA,0.7,0.9,0.2,17.9,NA,NA,NA,336.1,NA,8.1,NA,FantasyPros,0508,8300,Tennessee Titans,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.8,NA,0.6,0.8,0.2,19.2,NA,NA,NA,336.6,NA,7.6,NA,FantasyPros,0513,8220,Las Vegas Raiders,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.3,NA,0.6,0.9,0.2,16.6,NA,NA,NA,302.7,NA,7.4,NA,FantasyPros,0517,8200,New York Giants,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.5,NA,0.6,0.8,0.2,19.5,NA,NA,NA,338,NA,7.3,NA,FantasyPros,0528,8280,Los Angeles Rams,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.5,NA,0.5,0.7,0.2,19.3,NA,NA,NA,327.1,NA,7.2,NA,FantasyPros,0501,8030,Buffalo Bills,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.9,NA,0.7,1,0.2,26,NA,NA,NA,342.4,NA,7.1,NA,FantasyPros,0522,8100,Detroit Lions,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0.1,2.5,NA,0.6,1.1,0.2,18.4,NA,NA,NA,322.8,NA,7.1,NA,FantasyPros,0516,8080,Dallas Cowboys,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0.1,2.2,NA,0.6,0.9,0.2,19.4,NA,NA,NA,348.2,NA,7,NA,FantasyPros,0530,8270,San Francisco 49ers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.1,0,2.3,NA,0.6,0.8,0.2,20.4,NA,NA,NA,320.7,NA,6.7,NA,FantasyPros,0526,8010,Atlanta Falcons,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.6,NA,0.6,1.1,0.2,21.9,NA,NA,NA,348.2,NA,6.5,NA,FantasyPros,0503,8160,Miami Dolphins,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.6,NA,0.6,1,0.1,22.8,NA,NA,NA,334.6,NA,6.5,NA,FantasyPros,0519,8000,Arizona Cardinals,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.1,NA,0.7,1.3,0.2,20.6,NA,NA,NA,355.3,NA,6.5,NA,FantasyPros,0512,8150,Kansas City Chiefs,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.3,NA,0.6,1,0.2,26.2,NA,NA,NA,370.1,NA,6.4,NA,FantasyPros,0514,8250,Los Angeles Chargers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,3,NA,0.6,0.9,0.1,21,NA,NA,NA,340.5,NA,6.4,NA,FantasyPros,0525,8290,Tampa Bay Buccaneers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0.1,2.4,NA,0.6,0.8,0.2,22.1,NA,NA,NA,322.4,NA,6.4,NA,FantasyPros,0527,8040,Carolina Panthers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.2,NA,0.6,0.9,0.2,22.5,NA,NA,NA,359.8,NA,6.4,NA,FantasyPros,0510,8240,Pittsburgh Steelers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.2,NA,0.6,1,0.1,26.6,NA,NA,NA,394,NA,6.3,NA,FantasyPros,0524,8170,Minnesota Vikings,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.2,NA,0.6,0.9,0.2,20.6,NA,NA,NA,300.1,NA,6,NA,FantasyPros,0511,8090,Denver Broncos,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.6,NA,0.6,0.9,0.1,23,NA,NA,NA,348.7,NA,6,NA,FantasyPros,0532,8120,Houston Texans,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.2,NA,0.6,0.9,0.1,25.6,NA,NA,NA,363.3,NA,5.8,NA,FantasyPros,0507,8070,Cleveland Browns,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2,NA,0.6,1,0.2,22.1,NA,NA,NA,357.4,NA,5.8,NA,FantasyPros,0521,8050,Chicago Bears,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.2,NA,0.6,0.9,0.1,23.6,NA,NA,NA,334.7,NA,5.8,NA,FantasyPros,0502,8130,Indianapolis Colts,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.4,NA,0.5,0.7,0.1,26.7,NA,NA,NA,374.5,NA,5.6,NA,FantasyPros,0520,8310,Washington Commanders,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.2,NA,0.5,0.7,0.1,22.8,NA,NA,NA,343.2,NA,5.5,NA,FantasyPros,0523,8110,Green Bay Packers,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.1,NA,0.6,0.7,0.1,29.1,NA,NA,NA,397,NA,5.5,NA,FantasyPros,0509,8140,Jacksonville Jaguars,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,1.9,NA,0.6,1.1,0.2,22.7,NA,NA,NA,350.7,NA,5.3,NA,FantasyPros,0515,8260,Seattle Seahawks,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,1.4,0,3.3,NA,0.6,NA,0.1,16.4,NA,NA,NA,276.5,NA,14.5,NA,FantasySharks,0518,NA,"Eagles, Philadelphia",D,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,1,0,3.5,NA,0.7,NA,0.3,18.9,NA,NA,NA,343.1,NA,13.8,NA,FantasySharks,0516,NA,"Cowboys, Dallas",D,@GBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOS,0.6,0,3.6,NA,0.6,NA,0,14.6,NA,NA,NA,201,NA,12.4,NA,FantasySharks,0529,NA,"Saints, New Orleans",D,@PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,1.1,0.1,1.2,NA,0.6,NA,0.4,19.4,NA,NA,NA,311.6,NA,12.3,NA,FantasySharks,0526,NA,"Falcons, Atlanta",D,@CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.9,0.1,3.1,NA,0.4,NA,0,15.1,NA,NA,NA,257.7,NA,12.3,NA,FantasySharks,0511,NA,"Broncos, Denver",D,@TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.5,0,3,NA,0.8,NA,0,16,NA,NA,NA,255.7,NA,12.1,NA,FantasySharks,0517,NA,"Giants, New York",D,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,1.1,0,3.1,NA,0.4,NA,0.1,17.9,NA,NA,NA,339.2,NA,11.6,NA,FantasySharks,0508,NA,"Titans, Tennessee",D,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,0.7,0,2.5,NA,0.3,NA,0.1,19.1,NA,NA,NA,294.1,NA,11.5,NA,FantasySharks,0528,NA,"Rams, Los Angeles",D,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVR,0.4,0,1.9,NA,0.3,NA,0.2,15.1,NA,NA,NA,209.5,NA,11.1,NA,FantasySharks,0513,NA,"Raiders, Las Vegas",D,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,1,0.1,3,NA,0.2,NA,0.1,17.1,NA,NA,NA,310,NA,10.8,NA,FantasySharks,0501,NA,"Bills, Buffalo",D,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.8,0,2.7,NA,0.7,NA,0.1,21,NA,NA,NA,300,NA,10.4,NA,FantasySharks,0519,NA,"Cardinals, Arizona",D,@LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,0.6,0,2.8,NA,0.5,NA,0.3,24.7,NA,NA,NA,355.6,NA,9.8,NA,FantasySharks,0503,NA,"Dolphins, Miami",D,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KCC,0.5,0.1,2.8,NA,0.6,NA,0.1,21,NA,NA,NA,345,NA,9.7,NA,FantasySharks,0512,NA,"Chiefs, Kansas City",D,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SFO,0.6,0,2.9,NA,0.2,NA,0.1,21,NA,NA,NA,333,NA,9.4,NA,FantasySharks,0530,NA,"49ers, San Francisco",D,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,0.9,0,2.2,NA,0.4,NA,0,23.5,NA,NA,NA,322.4,NA,9,NA,FantasySharks,0521,NA,"Bears, Chicago",D,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.6,0,2.8,NA,0.6,NA,0.1,27.3,NA,NA,NA,385.4,NA,9,NA,FantasySharks,0515,NA,"Seahawks, Seattle",D,@TBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBB,0.5,0,2.5,NA,0.5,NA,0.1,22,NA,NA,NA,344,NA,8.8,NA,FantasySharks,0525,NA,"Buccaneers, Tampa Bay",D,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,0.7,0,2.2,NA,0.4,NA,0.1,26,NA,NA,NA,349.6,NA,8.8,NA,FantasySharks,0514,NA,"Chargers, Los Angeles",D,@SFO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,0.8,0,2.3,NA,0.2,NA,0.1,23,NA,NA,NA,392.6,NA,7.7,NA,FantasySharks,0532,NA,"Texans, Houston",D,@NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.5,0,2,NA,0.2,NA,0.2,27,NA,NA,NA,380,NA,7.7,NA,FantasySharks,0527,NA,"Panthers, Carolina",D,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,1,0,2.6,NA,0.4,NA,0.1,24.6,NA,NA,NA,414,NA,7.7,NA,FantasySharks,0524,NA,"Vikings, Minnesota",D,@BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,0.4,0,1.9,NA,0.4,NA,0.1,27.7,NA,NA,NA,373.2,NA,7.1,NA,FantasySharks,0507,NA,"Browns, Cleveland",D,@MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBP,0.6,0.1,1.6,NA,0.3,NA,0.1,25.3,NA,NA,NA,371.9,NA,7,NA,FantasySharks,0523,NA,"Packers, Green Bay",D,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.7,0.1,1.6,NA,0.4,NA,0,25.4,NA,NA,NA,379.7,NA,7,NA,FantasySharks,0522,NA,"Lions, Detroit",D,@CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,0.9,0,2,NA,0.3,NA,0.1,26.2,NA,NA,NA,418,NA,6.9,NA,FantasySharks,0510,NA,"Steelers, Pittsburgh",D,NOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.5,0,2,NA,0.4,NA,0,24.6,NA,NA,NA,371.4,NA,6.9,NA,FantasySharks,0502,NA,"Colts, Indianapolis",D,@LVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.3,0.1,1.8,NA,0.3,NA,0,25,NA,NA,NA,402.8,NA,5.3,NA,FantasySharks,0520,NA,"Commanders, Washington",D,@PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,0.5,0,1.3,NA,0.2,NA,0.1,28.5,NA,NA,NA,445.4,NA,4,NA,FantasySharks,0509,NA,"Jaguars, Jacksonville",D,@KCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,1.1,NA,3.1,NA,0.6,1,0.2,16.9,NA,NA,NA,307,NA,12.4,NA,FleaFlicker,0518,2351,Philadelphia Eagles,DST,WASMon 8:15 PM,7,D/ST8,0,83%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,0.7,NA,3.3,NA,0.7,0.9,0.2,17.9,NA,NA,NA,336.1,NA,11.84,NA,FleaFlicker,0508,2358,Tennessee Titans,DST,DENSun 1:00 PM,6,D/ST19,0,28%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,1.3,NA,2.6,NA,0.6,0.8,0.2,19.8,NA,NA,NA,308.5,NA,11.4,NA,FleaFlicker,0529,2347,New Orleans Saints,DST,@PITSun 1:00 PM,14,D/ST9,0,58%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.9,NA,2.9,NA,0.7,0.9,0.2,26,NA,NA,NA,342.4,NA,11.3,NA,FleaFlicker,0522,2338,Detroit Lions,DST,@CHISun 1:00 PM,6,NA,0,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,0.8,NA,2.6,NA,0.6,1.1,0.2,21.9,NA,NA,NA,348.2,NA,10.81,NA,FleaFlicker,0503,2344,Miami Dolphins,DST,CLESun 1:00 PM,11,D/ST23,0,72%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB,0.7,NA,3,NA,0.7,0.9,0.1,21,NA,NA,NA,340.5,NA,10.59,NA,FleaFlicker,0525,2357,Tampa Bay Buccaneers,DST,SEASun 9:30 AM,11,D/ST5,0,93%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.8,NA,2.6,NA,0.6,1,0.1,22.8,NA,NA,NA,334.6,NA,10.59,NA,FleaFlicker,0519,2328,Arizona Cardinals,DST,@LARSun 4:25 PM,13,D/ST28,0,37%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC,0.9,NA,2.1,NA,0.7,1.3,0.2,20.6,NA,NA,NA,355.3,NA,10.55,NA,FleaFlicker,0512,2343,Kansas City Chiefs,DST,JACSun 1:00 PM,8,D/ST17,0,62%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LV,0.8,NA,2.8,NA,0.6,0.8,0.2,19.2,NA,NA,NA,336.6,NA,10.51,NA,FleaFlicker,0513,2350,Las Vegas Raiders,DST,INDSun 4:05 PM,6,NA,0,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
